First Name,Last Name,Pos,Pro Team,Age,Percent Owned,Fantasy Team,Contract Started,Contract Length,Remaining Years,Value,Remaining Value,Fantasy Points,
DeAndre,Hopkins,WR,ARI ,30,99.86,"Deshaun's Day Spa",2022,2,2,25000000,25000000,0.00,
Tyler,Lockett,WR,SEA ,30,98.88,"Deshaun's Day Spa",2022,1,1,7000000,7000000,5.00,
Jason,Myers,PK,SEA ,31,15.71,"Deshaun's Day Spa",2022,1,1,500000,500000,5.00,
Amari,Cooper,WR,CLE ,28,100.00,"Deshaun's Day Spa",2022,3,3,52000000,52000000,4.00,
Michael,Thomas,WR,NO  ,29,100.00,"Deshaun's Day Spa",2022,2,2,25000000,25000000,22.00,
Mike,Williams,WR,LAC ,28,100.00,"Deshaun's Day Spa",2022,2,2,39000000,39000000,3.00,
Joe,Mixon,RB,CIN ,26,100.00,"Deshaun's Day Spa",2022,4,4,153000000,153000000,21.00,
Austin,Ekeler,RB,LAC ,27,99.86,"Deshaun's Day Spa",2022,4,4,173000000,173000000,10.00,
Tim,Patrick,WR,DEN ,29,44.76,"Deshaun's Day Spa",2022,1,1,500000,500000,0.00,
Josh,Allen,QB,BUF ,26,99.72,"Deshaun's Day Spa",2022,3,3,78500000,78500000,32.00,
Hayden,Hurst,TE,CIN ,29,51.75,"Deshaun's Day Spa",2022,1,1,1000000,1000000,9.00,
Sony,Michel,RB,LAC ,27,72.17,"Deshaun's Day Spa",2022,1,1,1000000,1000000,1.00,
Ronald,Jones,RB,KC  ,25,80.84,"Deshaun's Day Spa",2022,1,1,500000,500000,0.00,
Daniel,Carlson,PK,LV  ,27,94.69,"Deshaun's Day Spa",2022,1,1,2500000,2500000,8.00,
Mecole,Hardman,WR,KC  ,24,78.60,"Deshaun's Day Spa",2022,1,1,500000,500000,10.00,
James,Robinson,RB,JAC ,24,98.88,"Deshaun's Day Spa",2022,1,1,2500000,2500000,19.00,
Zach,Wilson,QB,NYJ ,23,90.21,"Deshaun's Day Spa",2022,1,1,1000000,1000000,0.00,
Kyle,Pitts,TE,ATL ,22,100.00,"Deshaun's Day Spa",2022,3,3,87000000,87000000,3.00,
Trey,McBride,TE,ARI ,23,85.17,"Deshaun's Day Spa",2022,1,1,500000,500000,0.00,
SF,Team Defense,DF,SF  ,0,98.45,"Deshaun's Day Spa",2022,1,1,3500000,3500000,4.00,
KC,Team Defense,DF,KC  ,0,35.91,"Deshaun's Day Spa",2022,1,1,1000000,1000000,3.00,
IND,Team Defense,DF,IND ,0,90.40,"GeekSquad",2022,1,1,500000,500000,5.00,
NO,Team Defense,DF,NO  ,0,90.71,"GeekSquad",2022,1,1,1500000,1500000,5.00,
Pierre,Strong Jr.,RB,NE  ,24,56.08,"GeekSquad",2022,1,1,100000,100000,0.00,
Tyrion,Davis-Price,RB,SF  ,22,81.40,"GeekSquad",2022,1,1,200000,200000,0.00,
Isaiah,Spiller,RB,LAC ,21,96.92,"GeekSquad",2022,1,1,1000000,1000000,0.00,
Trevor,Lawrence,QB,JAC ,23,99.44,"GeekSquad",2022,4,4,19000000,19000000,14.00,
Elijah,Moore,WR,NYJ ,22,99.86,"GeekSquad",2022,2,2,40000000,40000000,9.00,
Amari,Rodgers,WR,GB  ,23,61.26,"GeekSquad",2022,1,1,100000,100000,0.00,
Terrace,Marshall Jr.,WR,CAR ,22,79.44,"GeekSquad",2022,1,1,100000,100000,0.00,
Chuba,Hubbard,RB,CAR ,23,90.07,"GeekSquad",2022,1,1,1500000,1500000,0.00,
Kenneth,Gainwell,RB,PHI ,23,95.66,"GeekSquad",2022,1,1,1000000,1000000,11.00,
Antonio,Gibson,RB,WAS ,24,99.72,"GeekSquad",2022,3,3,90000000,90000000,19.00,
DK,Metcalf,WR,SEA ,25,100.00,"GeekSquad",2022,4,4,155000000,155000000,9.00,
Tony,Pollard,RB,DAL ,25,99.58,"GeekSquad",2022,1,1,11000000,11000000,3.00,
Dawson,Knox,TE,BUF ,26,99.72,"GeekSquad",2022,1,1,7000000,7000000,1.00,
D.J.,Chark,WR,DET ,26,88.39,"GeekSquad",2022,1,1,500000,500000,15.00,
Nick,Chubb,RB,CLE ,27,100.00,"GeekSquad",2022,3,3,106000000,106000000,15.00,
Chris,Godwin,WR,TB  ,26,99.58,"GeekSquad",2022,3,3,75000000,75000000,6.00,
Kenny,Golladay,WR,NYG ,29,85.45,"GeekSquad",2022,1,1,1000000,1000000,4.00,
George,Kittle,TE,SF  ,29,100.00,"GeekSquad",2022,2,2,57000000,57000000,0.00,
Deshaun,Watson,QB,CLE ,27,98.32,"GeekSquad",2022,2,2,10000000,10000000,0.00,
Jameis,Winston,QB,NO  ,28,86.71,"GeekSquad",2022,1,1,500000,500000,20.00,
Dustin,Hopkins,PK,LAC ,32,33.33,"GeekSquad",2022,1,1,500000,500000,6.00,
Brandon,McManus,PK,DEN ,31,85.77,"GeekSquad",2022,1,1,1500000,1500000,10.00,
Aaron,Rodgers,QB,GB  ,39,99.72,"Goff My Lawn",2022,2,2,20500000,20500000,5.00,
Jarvis,Landry,WR,NO  ,30,83.22,"Goff My Lawn",2022,1,1,500000,500000,18.00,
Justin,Tucker,PK,BAL ,33,97.24,"Goff My Lawn",2022,1,1,7000000,7000000,6.00,
