First Name,Last Name,Pos,Pro Team,Age,Percent Owned,Fantasy Team,Fantasy Points,Pass Yards,Rush Yards,Rec Yards,Pass TDs,Rush TDs,Rec TDs,Pass Comp,Pass Att,Rush Att,Receptions,INTs,INT TDs,Fumbles Lost,Sacked,Sacked Yards,2-Point Pass Conv,2-Point Rush Conv,2-Point Rec Conv,FGs,FG Miss,PATs,PAT Miss,DEF Points Against,DEF INTs,DEF INT TDs,DEF Fum Rec,DEF Fum Rec TDs,DEF Yards Allowed,DEF Pass Yards Allowed,DEF Rush Yards Allowed,DEF Safety,DEF Sacks,DEF Tackles,DEF Blocked Punt,DEF Blocked FG,DEF Blocked PAT,DEF Blocked Punt TD,DEF Blocked FG TD,Kick Return Yards,Punt Return Yards,Kick Return TDs,Punt Return TDs,DP INT,DP INT TD,DP Fum Rec,DP Fum Rec TD,DP Tackle,DP Assist,DP Full Sack,DP Half Sack,DP Safety,DP TFL,DP Pass Def,FG <40,FG 40-49,FG 50+,Games Played,
Justin,Jefferson,WR,MIN ,23,100.00,"Throwin' Bombs, Bangin' Moms",39.00,0,0,184,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Patrick,Mahomes II,QB,KC  ,27,99.72,"The Real Slim Brady",34.00,360,5,0,5,0,0,30,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Saquon,Barkley,RB,NYG ,25,100.00,"Goff My Lawn",33.00,0,164,30,0,1,0,0,0,18,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Josh,Allen,QB,BUF ,26,99.72,"Deshaun's Day Spa",32.00,297,56,0,3,1,0,26,31,10,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Cooper,Kupp,WR,LA  ,29,99.86,"Lazard People",31.00,0,0,128,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Davante,Adams,WR,LV  ,30,100.00,"London Spitfires",30.00,0,0,141,0,0,1,0,0,0,10,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Carson,Wentz,QB,WAS ,30,68.39,"Super Lamario",29.00,313,12,0,4,0,0,27,41,6,0,2,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Ja'Marr,Chase,WR,CIN ,22,100.00,"The Real Slim Brady",28.00,0,0,129,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Jonathan,Taylor,RB,IND ,23,100.00,"Super Lamario",27.00,0,161,14,0,1,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Michael,Pittman Jr.,WR,IND ,25,99.86,"Super Lamario",27.00,0,0,121,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
D'Andre,Swift,RB,DET ,23,100.00,"Throwin' Bombs, Bangin' Moms",26.00,0,144,31,0,1,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Stefon,Diggs,WR,BUF ,29,100.00,"Herb Your Enthusiasm ",26.00,0,0,122,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Travis,Kelce,TE,KC  ,33,100.00,"Throwin' Bombs, Bangin' Moms",26.00,0,0,121,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
A.J.,Brown,WR,PHI ,25,100.00,"Wetherby Whalers",25.00,0,0,155,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Jalen,Hurts,QB,PHI ,24,99.58,"Throwin' Bombs, Bangin' Moms",24.00,243,90,0,0,1,0,18,32,17,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Justin,Herbert,QB,LAC ,24,99.72,"Herb Your Enthusiasm ",23.00,279,1,0,3,0,0,26,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clyde,Edwards-Helaire,RB,KC  ,23,100.00,"Wetherby Whalers",22.00,0,42,32,0,0,2,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Cordarrelle,Patterson,RB,ATL ,31,99.58,"Stompin' Nightmares",22.00,0,120,16,0,1,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Joe,Burrow,QB,CIN ,26,99.72,"London Spitfires",22.00,338,47,0,2,0,0,33,53,6,0,4,1,1,7,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Kareem,Hunt,RB,CLE ,27,100.00,"Goff My Lawn",22.00,0,46,24,0,1,1,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Michael,Thomas,WR,NO  ,29,100.00,"Deshaun's Day Spa",22.00,0,0,57,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Devin,Duvernay,WR,BAL ,25,38.04,"Throwin' Bombs, Bangin' Moms",21.00,0,0,54,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Dontrell,Hilliard,RB,TEN ,27,33.85,"",21.00,0,8,61,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,
Joe,Mixon,RB,CIN ,26,100.00,"Deshaun's Day Spa",21.00,0,82,63,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
PIT,Team Defense,DF,PIT ,0,91.33,"Lazard People",21.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,1,2,0,471,338,133,0,7,64,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,1,
